MassFeature_Column,Identification,umol.intracell.med,umol.intracell.min,umol.intracell.max,umol.intracellC.med,umol.intracellC.min,umol.intracellC.max,molFractionmed,molFractionmin,molFractionmax
Lysine_X_HILICPos,Lysine,1435.7934452812847,157.24086002074554,10989.458110680953,8614.760671687709,943.4451601244732,65936.74866408572,0.008933763172698513,6.365227452836704e-4,0.09322334416694733
Amino Propanesulfonic Acid_X_HILICNeg,Amino Propanesulfonic Acid,6679.806942926269,6301.78145166777,6830.323990958327,20039.420828778806,18905.34435500331,20490.97197287498,0.00866882290667673,0.008104337849856773,0.008954232101363192
Glucosylglycerol_X_HILICPos,Glucosylglycerol,923.3766691293829,26.78346451738927,412012.4719344333,8310.390022164447,241.05118065650342,3708112.2474098997,0.00705128296701056,5.038946118535879e-4,0.44261936378519134
Isethionic Acid_X_HILICNeg,Isethionic Acid,795.3652932411721,0.052295646214487644,18727.399644330668,1590.7305864823443,0.10459129242897529,37454.799288661336,0.006256116965661785,6.32651058534161e-7,0.20364338746013091
Adenosyl Methionine_X_HILICPos,Adenosyl Methionine,270.6879794393181,15.299269947993588,24376.55299941909,4060.3196915897715,229.48904921990382,365648.29499128636,0.005210756791036403,2.4336453392908523e-4,0.03395115661932915
Serine_X_HILICPos,Serine,1582.2613765742822,159.1332130629801,17575.398870226094,4746.784129722847,477.39963918894034,52726.19661067828,0.004990482740271631,4.481256992108573e-4,0.031629674166751595
I175.119R17.83_HILICPos_X_HILICPos,Arginine,1456.2025323513262,141.9985732706015,21583.210845403435,8737.215194107957,851.991439623609,129499.26507242062,0.0044877114585497035,9.381354362397355e-4,0.17976525481785738
I346.0564R12.06_HILICNeg_X_HILICNeg,AMP,578.8870982919616,6.105605100930331,5895.706570101749,5788.870982919616,61.05605100930332,58957.06570101749,0.004330286858634014,8.948603544824745e-5,0.019980458048341084
Asparagine_X_HILICPos,Asparagine,988.9475083437294,38.74522593867277,20530.68053853454,3955.7900333749176,154.98090375469107,82122.72215413816,0.004134705956141706,1.1815532476896574e-5,0.023096179111145015
NAD_X_HILICNeg,NAD,188.13488336789308,1.4347450118598892,2745.0321121206966,3950.8325507257546,30.129645249057674,57645.67435453463,0.00321977475197822,1.4266541507486913e-4,0.023504281636542928
Threonine_X_HILICPos,Threonine,1198.6715701258545,207.0376754572737,9141.57942706095,4794.686280503418,828.1507018290948,36566.3177082438,0.0028004075659121648,5.680220266084273e-4,0.02387211023705448
Citrulline_X_HILICPos,Citrulline,197.21245354711274,5.860881048511006,52404.01684624772,1183.2747212826764,35.16528629106604,314424.10107748635,0.0023295758698357225,3.988764466579918e-5,0.02561998220401281
Alanine_X_HILICPos,Alanine,733.4042577701535,73.17148326278061,21475.64661314274,2200.2127733104608,219.51444978834184,64426.93983942822,0.0019844344418134797,2.5630353101701366e-4,0.0507028075903102
I606.0756R12.98_HILICNeg_X_HILICNeg,UDP-glucosamine,106.57312474649984,1.243371925709954,2387.275285973859,1811.743120690497,21.13732273706922,40583.6798615556,0.0019040015587045924,1.3162292406303613e-4,0.009739968360386075
Malic Acid_X_HILICNeg,Malic Acid,282.78327093216876,43.43509998382582,17462.592332208085,1131.133083728675,173.7403999353033,69850.36932883234,0.001764300770038581,0.0013852010922856138,0.030523511532993958
I148.0968R8.21_HILICPos_X_HILICPos,4-Hydroxyisoleucine,444.1545055862723,83.67809701091451,3107.047053223053,2664.927033517634,502.0685820654871,18642.282319338316,0.0017272590595700773,6.074797352500792e-4,0.007977123589530632
Ornithine_X_HILICPos,Ornithine,690.6163378514437,28.791853533491327,63582.64332850849,3453.0816892572184,143.95926766745663,317913.21664254245,0.0016035338569183035,9.99221423500838e-5,0.4711984342053843
L-Pyroglutamic acid_X_HILICNeg,L-Pyroglutamic acid,414.40402036702324,52.6659490578534,5354.76452412749,2072.0201018351163,263.329745289267,26773.822620637453,0.0014594799029662058,5.727406902531401e-5,0.035839649572998046
Tyrosine_X_HILICPos,Tyrosine,299.379756379611,14.582929091681466,1774.9689281621513,2694.4178074164993,131.2463618251332,15974.720353459361,0.0014470555631955853,4.698802837061441e-4,0.08415804278175529
I204.1232R7.22_HILICPos_X_HILICPos,Acetyl-L-carnitine,98.23434282887766,12.351527669871636,1146.4450141852092,884.1090854598989,111.16374902884473,10318.005127666882,0.0013085378695807174,2.654486266041039e-4,0.007477941905280181
beta-Alanine_X_HILICPos,beta-Alanine,188.23954407594664,21.94846762247802,2772.7148572821757,564.7186322278399,65.84540286743406,8318.144571846527,0.0013051622474169787,6.0762393153862e-5,0.004148930612302179
