MassFeature_Column,Identification,Confidence,mz,rt,Column,z,NPTZ depth profile cluster,NPSG depth profile cluster,Transect cluster,Culture cluster
I245.1588R2.3_CyanoAq_X_RP,NA,4,245.158845,138.0565836,RP,1,d,a,a,NA
I245.1861R2.33_CyanoAq_X_RP,N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate,3,245.1861472,139.6494184,RP,1,b,b,d,c
I245.1862R2.58_CyanoAq_X_RP,N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate N-(6-Aminohexanoyl)-6-aminohexanoate,3,245.1861622,154.8680418,RP,1,b,b,d,c
I248.9764R0.9_CyanoAq_X_RP,NA,4,248.9764101,54.08870611,RP,1,c,b,a,NA
I260.1131R1.01_CyanoAq_X_RP,NA,4,260.1131165,60.39523365,RP,1,c,c,b,f
I261.1311R1.29_CyanoAq_X_RP,NA,4,261.1311356,77.14754025,RP,1,d,a,a,NA
I263.1426R2.13_CyanoAq_X_RP,NA,4,263.1425622,128.0221591,RP,1,c,b,d,e
I268.1042R1.29_CyanoAq_X_RP,Adenosine Deoxyguanosine; Zidovudine; Adenosine Deoxyguanosine; Zidovudine; Adenosine Deoxyguanosine; Zidovudine;,3,268.1042443,77.65887735,RP,1,a,a,e,d
I269.0882R1.02_CyanoAq_X_RP,Inosine Inosine; 2-O-(alpha-D-Mannosyl)-D-glycerate; 2-O-(alpha-D-Mannosyl)-D-glycerate;,3,269.0882034,61.14160671,RP,1,c,a,d,e
I271.1291R0.87_CyanoAq_X_RP,Bacilysin Bacilysin Bacilysin,3,271.1290685,52.41806518,RP,1,c,c,c,f
I279.1706R4.12_CyanoAq_X_RP,NA,4,279.1705566,247.3869579,RP,1,b,b,d,c
I283.0872R1.5_CyanoAq_X_RP,NA,4,283.0871634,90.09500431,RP,1,a,a,e,d
I285.1447R0.91_CyanoAq_X_RP,NA,4,285.1447062,54.73665997,RP,1,c,c,a,g
I285.1447R1.14_CyanoAq_X_RP,NA,4,285.1447149,68.40074345,RP,1,c,c,f,f
I285.6464R1_CyanoAq_X_RP,NA,4,285.6463754,59.87146572,RP,1,c,c,b,d
I288.2032R0.91_CyanoAq_X_RP,NA,4,288.2031897,54.33223266,RP,1,c,b,d,c
I293.2112R9.77_CyanoAq_X_RP,"12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA;",3,293.2112471,586.4037885,RP,1,b,c,c,g
I293.2113R9.66_CyanoAq_X_RP,"12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA; 12-OPDA; (9Z,15Z)-(13S)-12,13-Epoxyoctadeca-9,11,15-trienoic acid; Etherolenic acid; Colnelenic acid; 9,10-EOT; 10-OPDA;",3,293.2112546,579.4244691,RP,1,b,c,c,g
I294.1814R1.08_CyanoAq_X_RP,NA,4,294.1814449,64.92296684,RP,1,a,b,a,e
I295.1291R1.78_CyanoAq_X_RP,Aspartame,3,295.129073,106.8791472,RP,1,d,a,d,c
I295.1654R2.4_CyanoAq_X_RP,NA,4,295.165447,143.8268234,RP,1,b,b,d,e
I295.1655R2.58_CyanoAq_X_RP,NA,4,295.1654516,154.6182176,RP,1,b,b,d,e
I295.1655R2.81_CyanoAq_X_RP,NA,4,295.1654523,168.4751531,RP,1,b,b,d,e
I296.6058R1.22_CyanoAq_X_RP,NA,4,296.6058072,72.97321716,RP,1,a,a,c,f
I297.1885R5.9_CyanoAq_X_RP,NA,4,297.1885022,353.7431433,RP,1,NA,c,g,NA
I298.0971R2.1_CyanoAq_X_RP,Methylthioadenosine,1,298.0970625,125.7416991,RP,1,b,b,b,a
I299.1967R2.47_CyanoAq_X_RP,NA,4,299.1967411,148.2222322,RP,1,NA,NA,c,NA
I303.1553R0.89_CyanoAq_X_RP,NA,4,303.1553058,53.22809363,RP,1,g,c,b,f
I305.1573R1.6_CyanoAq_X_RP,NA,4,305.157303,96.28830412,RP,1,d,a,a,NA
I306.4913R3.77_CyanoAq_X_RP,NA,4,306.4913056,226.3413875,RP,1,g,d,f,NA
I310.14R1.31_CyanoAq_X_RP,NA,4,310.1399563,78.40972773,RP,1,b,b,a,f
I311.1239R1.4_CyanoAq_X_RP,NA,4,311.1239293,83.78906365,RP,1,d,a,d,b
I313.1548R4.98_CyanoAq_X_RP,NA,4,313.1548365,298.8117687,RP,1,b,b,d,e
