matlab date,lat,lon,sst,sal
736449.6628,36.04276011,-157.9983442,14.22907185,34.34733157
736449.6667,36.03689701,-157.9986673,17.44556194,34.11666833
736449.6705,36.03126553,-157.9989576,14.20236933,34.33827367
736449.6743,36.0255047,-157.9992777,14.18957917,34.33687611
736449.6781,36.01955323,-157.9996914,14.164474,34.33510767
736449.6816,36.01414184,-158.0000518,14.12492733,34.33108867
736449.6854,36.00763921,-158.0003643,14.05818561,34.32177544
736449.6892,36.00142631,-158.000183,15.07343343,33.77981781
736449.6931,35.99503952,-158.000009,14.09023773,34.33052748
736449.7104,35.96573209,-158.0004726,14.48964692,34.16333955
736449.7274,35.93697273,-158.0010884,14.5394333,34.40979701
736449.7313,35.93080164,-158.001095,14.55368105,34.4098264
736449.7351,35.92401855,-158.0011893,14.54578429,34.40681411
736449.7385,35.91763043,-158.0009791,14.53362048,34.40447781
736449.7424,35.91074299,-158.0006877,14.51245505,34.39940374
736449.7462,35.90407976,-158.0002313,14.49142615,34.39314694
736449.75,35.89713964,-157.9998049,14.46987035,34.38534953
736449.7538,35.89053536,-157.9992555,14.41690612,34.37704326
736449.7576,35.88425597,-157.9985998,14.37877691,34.37086002
736449.7615,35.87769754,-157.9980646,14.34888733,34.36875633
736449.7649,35.87171362,-157.9974004,14.32026825,34.36669641
736449.7688,35.86493592,-157.9968389,14.30132438,34.36751237
736449.7726,35.85797079,-157.9961785,14.280128,34.36905167
736449.7764,35.85121269,-157.9953606,14.29200634,34.36829389
736449.7938,35.82023781,-157.9927081,14.28518739,34.46526839
736449.8108,35.78704471,-157.992082,14.2258176,34.35107193
736449.8146,35.77919114,-157.9926111,14.21769056,34.34897857
736449.8184,35.77163832,-157.9931388,14.20917247,34.3469112
736449.8219,35.76474688,-157.9937166,14.19734524,34.50258959
736449.8257,35.75677114,-157.994402,14.17630806,34.34001611
736449.8295,35.7490154,-157.9948724,14.14902133,34.33740133
736449.8333,35.74111485,-157.9954134,14.11541871,34.3346946
736449.8372,35.73274593,-157.9959899,14.0829297,34.33354953
736449.841,35.72426475,-157.9965732,14.01359748,34.32647375
736449.8448,35.71598391,-157.9969836,15.27427344,33.31439271
736449.8483,35.70830093,-157.9973843,25.7559585,NaN
736449.8521,35.69983318,-157.9977573,13.84710689,34.30252894
736449.8559,35.69115477,-157.9980178,13.86139465,34.30455682
736449.8597,35.68248053,-157.9984056,13.87091917,34.30569444
736449.8667,35.66678879,-157.9990895,13.87404213,34.30683642
736449.9552,35.46208939,-158.0011628,13.8368958,34.22865562
736450.041,35.25866028,-157.999828,14.53358513,34.40941052
736450.0448,35.24926411,-157.999422,14.63835967,34.42423533
736450.0486,35.23962391,-157.9992559,14.71865933,34.43609682
736450.0549,35.22095447,-157.9995297,14.86324377,34.45248835
736450.0608,35.19937086,-158.0006898,14.98284387,34.47348785
736450.0646,35.18519572,-158.0015813,15.00741028,34.47855389
736450.0684,35.17111816,-158.002552,15.04453488,34.4807335
736450.0722,35.15682032,-158.0035412,15.07302266,34.4826527
736450.076,35.14228367,-158.0040848,15.05805233,34.47890767
736450.0795,35.12924872,-158.0041921,15.03235467,34.47449167
736450.0833,35.11490264,-158.0042787,15.04558437,34.47350966
736450.0872,35.10040222,-158.0043464,15.07027613,34.47566025
736450.091,35.08568478,-158.0044665,15.07252771,34.47709107
736450.0948,35.0706579,-158.0044704,15.06486946,34.4790843
736450.0983,35.05712083,-158.0045105,15.07630219,34.47746286
736450.1021,35.04199368,-158.0046192,15.08538483,34.47768679
736450.1059,35.02677815,-158.0047343,15.085221,34.48045367
736450.1097,35.01177408,-158.0049544,15.08232833,34.48580594
736450.1271,34.94309979,-158.0035314,15.00617727,34.47577003
736450.1441,34.87538059,-158.0018699,15.03682828,34.4803458
736450.1479,34.86014565,-158.001567,15.05058751,34.47996152
736450.1517,34.84489261,-158.0014323,15.04422207,34.47642453
736450.1556,34.82953836,-158.0016246,15.02492115,34.47206897
736450.1594,34.81426782,-158.0017621,15.01702633,34.46968467
736450.1628,34.80040485,-158.0016768,15.03640834,34.46932083
736450.1667,34.78521169,-158.0015092,15.10575666,34.47459752
736450.1705,34.77008371,-158.0013662,15.149507,34.47761967
736450.1743,34.75504592,-158.0013812,15.14438019,34.47513983
736450.1781,34.74019669,-158.001335,15.06254733,34.46585967
736450.1816,34.72689829,-158.0012744,15.03647873,34.4563792
736450.1854,34.7122124,-158.0012194,14.97165459,34.44584512
736450.1892,34.69761669,-158.0009777,14.993571,34.44129519
736450.1931,34.68301538,-158.0005602,14.90164894,34.42981617
736450.2104,34.61821618,-158.0001105,15.07834311,34.44885862
736450.2274,34.55535739,-158.000261,15.15337886,34.42382257
736450.2313,34.54139295,-158.0006929,15.13279499,34.40944162
736450.2351,34.52737835,-158.0011699,15.25464,34.409554
736450.2389,34.5132299,-158.0016132,15.42120125,34.42362944
736450.2427,34.4990032,-158.0020276,15.63097081,34.46826489
736450.2462,34.48613388,-158.0023453,15.69457062,34.4671351
736450.25,34.47193605,-158.0027512,15.76249314,34.47170276
736450.2538,34.45778193,-158.0032037,15.77186733,34.47282267
736450.2576,34.4436499,-158.0037076,15.78561132,34.46959061
736450.2615,34.42942283,-158.004223,15.80963616,34.46554534
736450.2649,34.41645231,-158.0046969,15.776643,34.46557967
736450.2688,34.40217059,-158.0053461,15.82651501,34.46773883
736450.2726,34.38775491,-158.0062512,15.87742238,34.47168518
736450.2764,34.37330858,-158.0072526,15.8560041,34.47640184
736450.2938,34.30928673,-158.0099647,15.80589644,34.4738215
736450.3108,34.24801488,-158.0111795,15.68566824,34.45556633
736450.3146,34.23451021,-158.0114942,15.63528218,34.44737298
736450.3184,34.22119256,-158.01173,15.55959026,34.44663045
736450.3222,34.2080786,-158.0116292,15.41333419,34.4453602
736450.326,34.19499894,-158.0114348,15.30441267,34.409265
