Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM
molecules1,170413_Poo_April11AqExtractsFull_1,I166.0864R1.12_CyanoAq,1.13,34034032,725693,13266601,0
molecules1,170413_Poo_April11AqExtractsFull_2,I166.0864R1.12_CyanoAq,1.13,23462460,500291,9203556,0.4
molecules1,170413_Poo_April11AqExtractsFull_3,I166.0864R1.12_CyanoAq,1.14,14700028,389497,5791036,0.1
molecules1,170413_Poo_April11AqExtractsHalf_1,I166.0864R1.12_CyanoAq,1.13,20602616,412390,8216715,0.2
molecules1,170413_Poo_April11AqExtractsHalf_2,I166.0864R1.12_CyanoAq,1.13,10207899,194105,3979763,0.4
molecules1,170413_Poo_April11AqExtractsHalf_3,I166.0864R1.12_CyanoAq,1.13,8365532,111048,3329018,0.3
molecules1,170413_Smp_KM1513-15m_A,I166.0864R1.12_CyanoAq,1.13,53038320,512624,21104338,0
molecules1,170413_Smp_KM1513-15m_B,I166.0864R1.12_CyanoAq,1.13,49639888,1181428,19892744,-0.3
molecules1,170413_Smp_KM1513-15m_C,I166.0864R1.12_CyanoAq,1.13,30873584,715514,12143625,0.5
molecules1,170413_Smp_KM1513-45m_A,I166.0864R1.12_CyanoAq,1.13,19962276,367037,7754919,0
molecules1,170413_Smp_KM1513-45m_B,I166.0864R1.12_CyanoAq,1.13,16948432,153903,6742765,0.7
molecules1,170413_Smp_KM1513-45m_C,I166.0864R1.12_CyanoAq,1.13,21342200,0,8484283,0.5
molecules1,170413_Smp_KM1513-75m_A,I166.0864R1.12_CyanoAq,1.13,31309386,510014,12466076,-0.3
molecules1,170413_Smp_KM1513-75m_B,I166.0864R1.12_CyanoAq,1.13,19133692,175322,7281820,0.4
molecules1,170413_Smp_KM1513-75m_C,I166.0864R1.12_CyanoAq,1.14,40458456,992858,16907468,0.3
molecules1,170413_Smp_KM1513-125m_A,I166.0864R1.12_CyanoAq,1.13,26530748,428420,11059823,0.3
molecules1,170413_Smp_KM1513-125m_B,I166.0864R1.12_CyanoAq,1.14,12561365,140783,5045106,0.5
molecules1,170413_Smp_KM1513-125m_C,I166.0864R1.12_CyanoAq,1.13,16657288,233056,6695809,0.6
molecules1,170425_Poo_TruePoo_Full1,I166.0864R1.12_CyanoAq,1.12,21219838,384618,9936673,-0.1
molecules1,170425_Poo_TruePoo_Full2,I166.0864R1.12_CyanoAq,1.12,15248454,367166,7295424,-0.1
molecules1,170425_Poo_TruePoo_Full3,I166.0864R1.12_CyanoAq,1.12,9159077,162152,4309387,0
molecules1,170425_Poo_TruePoo_Full4,I166.0864R1.12_CyanoAq,1.12,6850928,153075,3272388,0.1
molecules1,170425_Poo_TruePoo_Half1,I166.0864R1.12_CyanoAq,1.12,14370118,365684,6976186,-0.1
molecules1,170425_Poo_TruePoo_Half2,I166.0864R1.12_CyanoAq,1.12,12250457,304954,5954041,0.1
molecules1,170425_Poo_TruePoo_Half3,I166.0864R1.12_CyanoAq,1.12,7861609,66753,3670919,-0.3
molecules1,170425_Poo_TruePoo_Half4,I166.0864R1.12_CyanoAq,1.12,5686522,119366,2756934,0.2
molecules1,170425_Smp_S11C1_A,I166.0864R1.12_CyanoAq,1.12,11020573,226760,5297967,-0.5
molecules1,170425_Smp_S12C1_A,I166.0864R1.12_CyanoAq,1.12,32572506,399742,14206549,0.2
molecules1,170425_Smp_S12C1_B,I166.0864R1.12_CyanoAq,1.12,23036798,416594,10122289,-0.2
molecules1,170425_Smp_S13C1_A,I166.0864R1.12_CyanoAq,1.12,5437482,123503,2467562,0.1
molecules1,170425_Smp_S13C1_B,I166.0864R1.12_CyanoAq,1.12,11690267,394513,5845009,0.2
molecules1,170425_Smp_S14C1_A,I166.0864R1.12_CyanoAq,1.12,16372722,430203,7638964,-0.3
molecules1,170425_Smp_S14C1_B,I166.0864R1.12_CyanoAq,1.12,30187248,432562,14692232,-0.1
molecules1,170425_Smp_S14C1_C,I166.0864R1.12_CyanoAq,1.12,13226306,197647,6198774,-0.5
molecules1,170425_Smp_S2C1_B,I166.0864R1.12_CyanoAq,1.12,24110462,228070,11956163,-0.1
molecules1,170425_Smp_S2C1_C,I166.0864R1.12_CyanoAq,1.12,18401254,207740,8822561,0.2
molecules1,170425_Smp_S2C3_A,I166.0864R1.12_CyanoAq,1.12,6054280,53107,2866515,-0.4
molecules1,170425_Smp_S4C1_A,I166.0864R1.12_CyanoAq,1.12,6798529,155345,3456322,0.1
molecules1,170425_Smp_S4C1_B,I166.0864R1.12_CyanoAq,1.11,8289128,185736,3864915,-0.3
molecules1,170425_Smp_S4C1_C,I166.0864R1.12_CyanoAq,1.12,6064502,201587,3015751,0
molecules1,170425_Smp_S4C2_A,I166.0864R1.12_CyanoAq,1.12,4607743,131894,2281007,0.2
molecules1,170425_Smp_S4C2_B,I166.0864R1.12_CyanoAq,1.12,13592651,328778,6729481,-0.2
molecules1,170425_Smp_S6C1_A,I166.0864R1.12_CyanoAq,1.12,9654946,330103,4573516,0
molecules1,170425_Smp_S6C1_B,I166.0864R1.12_CyanoAq,1.12,6698627,185018,3149067,0.2
molecules1,170425_Smp_S6C1_C,I166.0864R1.12_CyanoAq,1.12,5140402,236352,2501822,-0.1
molecules1,170425_Smp_S6C2_A,I166.0864R1.12_CyanoAq,1.12,15302709,503453,7376785,-0.2
molecules1,170425_Smp_S6C2_B,I166.0864R1.12_CyanoAq,1.12,13206648,231236,6147968,-0.1
molecules1,170425_Smp_S8C1_A,I166.0864R1.12_CyanoAq,1.12,17878480,420576,8394532,0
molecules1,170425_Smp_S9C1_A,I166.0864R1.12_CyanoAq,1.12,24203584,658455,11390028,-0.1
molecules1,170425_Smp_S9C1_B,I166.0864R1.12_CyanoAq,1.12,20664984,616064,9843744,-0.3
molecules1,170425_Smp_S9C2_A,I166.0864R1.12_CyanoAq,1.12,12506578,279005,5862455,-0.5
molecules1,170425_Smp_S9C2_B,I166.0864R1.12_CyanoAq,1.12,8748444,229735,4290290,0.5
molecules1,170425_Smp_U3_A,I166.0864R1.12_CyanoAq,1.11,18545148,507190,8460588,-0.2
molecules1,170425_Smp_U3_B,I166.0864R1.12_CyanoAq,1.12,20448066,843757,9202501,-0.3
molecules1,170425_Smp_U4_A,I166.0864R1.12_CyanoAq,1.12,20835436,752273,10104855,-0.2
molecules1,170425_Smp_U4_B,I166.0864R1.12_CyanoAq,1.12,14761897,702091,7409740,0.1
molecules1,170425_Smp_U6_A,I166.0864R1.12_CyanoAq,1.12,51398408,601157,23924070,-0.4
molecules1,170425_Smp_U6_B,I166.0864R1.12_CyanoAq,1.12,50858112,444304,24661162,0.1
molecules1,170425_Smp_U7_A,I166.0864R1.12_CyanoAq,1.12,51076940,891014,23910338,-0.2
molecules1,170425_Smp_U7_B,I166.0864R1.12_CyanoAq,1.12,7336664,268083,3475191,0.3
molecules1,170425_Smp_U8_A,I166.0864R1.12_CyanoAq,1.12,23175684,669058,10848609,0.2
molecules1,170425_Smp_U8_B,I166.0864R1.12_CyanoAq,1.12,41564508,776992,19471268,0
molecules1,170425_Smp_U9_A,I166.0864R1.12_CyanoAq,1.12,20660220,620274,9766565,-0.3
molecules1,170425_Smp_U9_B,I166.0864R1.12_CyanoAq,1.12,11981154,459967,5842196,-0.3
molecules1,180716_Poo_TruePoo10_Full1,I166.0864R1.12_CyanoAq,1.14,45765536,351058,21596058,-0.9
molecules1,180716_Poo_TruePoo10_Full2,I166.0864R1.12_CyanoAq,1.13,49142400,531943,24008506,0.2
molecules1,180716_Poo_TruePoo10_Full3,I166.0864R1.12_CyanoAq,1.14,49815764,1099389,23318090,-0.5
