MassFeature_Column,SampID,std_area,cluster,cluster_letters
I126.904R4.8_HILICNeg_X_HILICNeg,1314_B,0,4,g
I130.05R11.1_HILICPos_X_HILICPos,1314_B,0.7716692347814259,1,a
I131.0704R10.12_HILICPos_X_HILICPos,1314_B,0.8664455440903133,7,f
I132.102R6.53_HILICPos_X_HILICPos,1314_B,0,4,g
I132.102R9.3_HILICPos_X_HILICPos,1314_B,0,6,e
I134.0813R10.18_HILICPos_X_HILICPos,1314_B,0,5,d
I137.0459R1.05_CyanoAq_X_RP,1314_B,0.9879688878113596,1,a
I137.0459R6.2_HILICPos_X_HILICPos,1314_B,0.9926051650875355,1,a
I137.0459R7.49_HILICPos_X_HILICPos,1314_B,0.986635166959653,1,a
I138.0549R5.35_HILICPos_X_HILICPos,1314_B,0,3,b
I138.055R7.72_HILICPos_X_HILICPos,1314_B,0.8402492161710113,6,e
I141.0659R7.2_HILICPos_X_HILICPos,1314_B,0,5,d
I143.0816R7.97_HILICPos_X_HILICPos,1314_B,0,4,g
I144.1019R6.44_HILICPos_X_HILICPos,1314_B,0.8853447744913413,7,f
I145.0608R10.18_HILICPos_X_HILICPos,1314_B,0,4,g
I146.0601R1.92_CyanoAq_X_RP,1314_B,0,3,b
I148.0605R12.12_HILICPos_X_HILICPos,1314_B,0.7441257756795778,1,a
I148.0968R8.21_HILICPos_X_HILICPos,1314_B,0,6,e
I148.9235R3.57_HILICNeg_X_HILICNeg,1314_B,0,4,g
I149.0631R10.15_HILICPos_X_HILICPos,1314_B,0.57369650452155585,1,a
I150.0775R6.27_HILICPos_X_HILICPos,1314_B,0,5,d
I152.0567R7.37_HILICPos_X_HILICPos,1314_B,0,4,g
I152.0567R8.12_HILICPos_X_HILICPos,1314_B,0.91024604800066,1,a
I152.0568R1.08_CyanoAq_X_RP,1314_B,0,4,g
I152.0707R9.08_HILICPos_X_HILICPos,1314_B,0.848997837040826,7,f
I154.0532R5.23_HILICPos_X_HILICPos,1314_B,0,4,g
I154.0723R8.97_HILICPos_X_HILICPos,1314_B,0.653335271961727,2,c
I155.0815R8.72_HILICPos_X_HILICPos,1314_B,1,4,g
I157.0973R7.33_HILICPos_X_HILICPos,1314_B,0,4,g
I158.0813R7.81_HILICPos_X_HILICPos,1314_B,0.9891696563731245,6,e
I158.1176R5.48_HILICPos_X_HILICPos,1314_B,0,4,g
