MassFeature_Column,KM1513-125m_A,KM1513-125m_B,KM1513-125m_C,KM1513-15m_A,KM1513-15m_B,KM1513-15m_C,KM1513-45m_A,KM1513-45m_B,KM1513-45m_C,KM1513-75m_A,KM1513-75m_B,KM1513-75m_C,S11C1_A,S12C1_A,S12C1_B,S13C1_A,S13C1_B,S14C1_A,S14C1_B,S14C1_C,S2C1_B,S2C1_C,S2C3_A,S4C1_A,S4C1_B,S4C1_C,S4C2_A,S4C2_B,S6C1_A,S6C1_B,S6C1_C,S6C2_A,S6C2_B,S7E41D100_1,S7E41D120_1,S7E41D140_1,S7E41D160_1,S7E41D180_1,S7E41D250_1,S7E41D30_1,S7E41D40_1,S7E41D60_1,S7E41D80_1,S8C1_A,S9C1_A,S9C1_B,S9C2_A,S9C2_B,U3_A,U3_B,U4_A,U4_B,U6_A,U6_B,U7_A,U7_B,U8_A,U8_B,U9_A,U9_B
I150.0775R6.27_HILICPos_X_HILICPos,5972574,5864784,5901953,21230264,19424720,23619676,14141568,14301363,12493807,7471068,12571256,13793393,2270613,3990640,4348654,8210336,4892252,10087786,19145556,7394196,9552697,13294313,9064393,12038436,9202300,15531502,5317867,5031599,6146899,6126163,7010659,5797057,4684283,1221021,1832167,1983795,1580027,1216436,680099,25709660,36222952,18928128,1794765,3244797,2752970,2744989,2728593,2599768,48674156,49778832,5445521,23415180,7947307,10619221,15193900,4414525,204944752,47544592,6931977,6870814
I151.1441R6.61_HILICPos_X_HILICPos,3421227776,3382675200,6759163392,2324476416,2596636160,1840415872,1305759360,1387191040,1297565824,2103546240,1938325248,3142333440,436154624,91256016,55649312,36874060,63631016,23614402,373131104,48867248,721242816,110149176,32947884,26606614,24673466,45252132,32263610,15528238,38922088,136690320,231026768,58551688,121914936,5397156,5492514,10441756,45527884,38705040,901601,6581364736,3153177600,1034547776,28209906,2573647616,1366030464,1205147008,1047686656,547880960,297314496,328587072,21981842,9246516,163608208,1216874496,2422760704,434764416,389383040,1137399680,934550208,92517000
I152.0567R0.9_CyanoAq_X_RP,108131688,81399216,75674112,83715096,95792808,75942784,101985376,91577496,109908672,87105992,96000280,95941496,4150053,28627984,27412328,17276688,36204848,19303402,27357352,13619193,32051332,36534200,18186136,34222312,36150068,15322773,9817897,31627484,38551900,16474114,14753659,34697372,32926248,10288836,11013478,14352687,11692207,10663624,6296355,95796864,54251856,28262668,12213780,3643959,7525037,8635900,4125704,3746907,23776678,23131400,13699935,15676898,11725151,12548784,12702238,7053236,14341883,19997954,9760538,15521905
I152.0567R7.37_HILICPos_X_HILICPos,12735881,6199043,6714717,21429044,19050182,12679001,14258790,13634545,10408147,9467993,6362614,12473832,16658891,69585424,42724096,44452132,11629760,32848582,27325138,25134726,2014060,1992728,1891837,3058971,3021424,3360909,5323360,3461622,3744370,10791678,5094052,10867923,6532953,1355127,2020189,1270532,3349974,2222682,1190031,19348174,21657158,5433197,1735791,8803785,8375889,8668570,13060545,14280172,7684576,11451538,5145676,4157298,14366836,21968242,17748650,6879640,13019330,25494884,6316963,7136159
I152.0567R8.12_HILICPos_X_HILICPos,1924927744,1427272448,1397650432,1675238144,1828864256,1599689216,1975368576,2109500160,2301336320,1420870784,1957586048,1893132032,57034944,211368672,148980976,289396384,272002560,168244880,150399120,149404912,287387936,270967040,183241248,247672176,196068928,182253808,149738944,194516208,288793440,318640160,247916784,255796080,160684224,98541856,57769284,71390704,59860468,76141344,49540184,500314272,388683104,114580640,59439076,59187700,52425624,67257160,67327280,61109092,200778288,183005936,125232840,100895904,84914232,104662400,93933768,134348672,141011424,117533616,102676216,89709360
I152.0568R1.08_CyanoAq_X_RP,1283532,1308652,1444104,2756095,2701721,2493430,1371728,1643303,1612548,1397657,1616117,2111752,2047282,15541418,8269963,3895637,2273643,4875521,5714258,3496373,329395,362989,280865,566947,529236,437503,525184,825019,521722,1065174,421084,1825878,1151413,274944,496219,353192,815587,545848,247376,4849313,4160033,1128714,382448,1261703,2264441,1285196,1467838,1420803,1078393,1872380,1000746,659182,3774789,3820465,3730952,612305,2172949,4231749,1038526,1114893
I152.0707R9.08_HILICPos_X_HILICPos,36183544,27510744,41997164,75297280,84944920,64490908,43653204,50563976,45535236,44317660,50065388,67357368,119776496,1712793472,1674785536,117323064,124760808,86477504,83992768,90565912,122508536,68386504,52735300,148301216,98643640,153899472,94494824,118254656,940871936,1048857728,1187164032,199432432,213950016,7429485,11557081,7567017,9339570,6350106,2230369,182025472,79900224,28694534,11208844,159407008,164468544,140806976,224709200,140951056,2894670592,4483862016,789241664,720816512,692697152,912766592,740589632,771762624,1043235392,1759843072,2254555904,1312022016
I152.1282R1.07_CyanoAq_X_RP,34362,1350,364,4265,30939,3970,10208,7386,4097,71953,5564,94592,21437,48378,14732,1956,11349,6621,3967,12806,5383,5276,2483,21075,7240,1564,961,7992,8005,2057,1163,9542,9809,198389,278683,204886,176175,217037,375607,295178,185112,279735,302616,9448,12401,14745,6474,843,4546,2219,9423,1476,17540,8076,5237,912,18698,3142,3091,6128
I154.0532R5.23_HILICPos_X_HILICPos,57558700,54892176,80126824,81333552,88845928,78305704,44336508,52922080,43937776,47680228,62245868,106330376,15197414,45644200,57004672,26101286,26084578,23408904,21064518,24072070,17761344,18816152,11035988,21870646,17216942,27174664,20961136,21857034,61363456,57716784,60205536,24871574,26203144,13772236,12094963,6585425,7713055,6084477,1826791,20572732,27803476,22996186,13678923,10807095,57097592,14474769,15539577,12634779,67201112,85915504,20980464,21619636,26262772,57738524,19121896,28078532,28298756,89240072,52008912,30025608
I154.0723R8.97_HILICPos_X_HILICPos,1373211,2230446,3139579,12639931,13854103,10603417,3675036,4386458,3374231,2380106,3328913,8881603,4964846,26662844,14600246,14516761,10836596,10085434,5778741,9927325,6058567,8607664,0,4553435,3106868,16599337,12615458,4458949,16118072,40902052,36182944,12143589,6903823,0,0,0,0,0,0,1091868,1217597,0,0,3315226,6001204,4506027,10072977,9949357,30567620,44782960,9873812,13004264,21919172,14345574,8153658,13670471,7093376,14491284,15211660,11677602
