MassFeature_Column,SampID,std_area,cluster,latitude,cluster_letters
I209.0843R7.18_HILICPos_X_HILICPos,S2C3_A,0.036829970151084,7,23.596524,g
I209.0844R8.07_HILICPos_X_HILICPos,S2C3_A,0.04993190118531875,7,23.596524,g
I211.0565R12.12_HILICPos_X_HILICPos,S2C3_A,0.016823141134091377,1,23.596524,a
I214.0388R5.25_HILICNeg_X_HILICNeg,S2C3_A,0.006835360308800646,1,23.596524,a
I214.0484R11.68_HILICNeg_X_HILICNeg,S2C3_A,0.001991459247006108,3,23.596524,d
I217.93R10.87_HILICNeg_X_HILICNeg,S2C3_A,0.010109008789207301,1,23.596524,a
I219.1703R6.51_HILICPos_X_HILICPos,S2C3_A,0.008362934955035723,1,23.596524,a
I219.9271R10.87_HILICNeg_X_HILICNeg,S2C3_A,0.009120299610213694,3,23.596524,d
I221.022R10.39_HILICNeg_X_HILICNeg,S2C3_A,2.4733173631187307e-4,1,23.596524,a
I221.0843R5.26_HILICPos_X_HILICPos,S2C3_A,0.0016273240796240574,4,23.596524,c
I221.0843R5.58_HILICPos_X_HILICPos,S2C3_A,0.0016402457262089866,4,23.596524,c
I221.0843R8.12_HILICPos_X_HILICPos,S2C3_A,0.009343294773106518,4,23.596524,c
I221.0844R0.89_CyanoAq_X_RP,S2C3_A,0.0036519396819125723,4,23.596524,c
I225.1607R2.2_HILICNeg_X_HILICNeg,S2C3_A,0.0381712553137953,2,23.596524,b
I227.1754R2.2_HILICPos_X_HILICPos,S2C3_A,0.03910416486653641,2,23.596524,b
I228.0979R6.34_HILICPos_X_HILICPos,S2C3_A,0.010709194346920938,5,23.596524,e
I229.1549R0.89_CyanoAq_X_RP,S2C3_A,0.009954849231624568,1,23.596524,a
I229.1557R2_HILICNeg_X_HILICNeg,S2C3_A,0.007201226339590044,3,23.596524,d
I232.0231R10.77_HILICNeg_X_HILICNeg,S2C3_A,0.04963286082452065,1,23.596524,a
I232.118R6.16_HILICPos_X_HILICPos,S2C3_A,0.004869195374004356,1,23.596524,a
I235.1653R7.18_HILICPos_X_HILICPos,S2C3_A,0.0030582795249703997,1,23.596524,a
I236.1492R9.91_HILICPos_X_HILICPos,S2C3_A,0.00571680798248059,1,23.596524,a
I236.1493R8.23_HILICPos_X_HILICPos,S2C3_A,0.00994434923918366,1,23.596524,a
I237.1235R1.65_CyanoAq_X_RP,S2C3_A,0.004477983673581463,3,23.596524,d
I238.0524R11.67_HILICPos_X_HILICPos,S2C3_A,0.014101767934531077,1,23.596524,a
I239.002R2.89_HILICNeg_X_HILICNeg,S2C3_A,0.00444688432602145,7,23.596524,g
I240.1092R0.94_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I241.0119R13.69_HILICNeg_X_HILICNeg,S2C3_A,0.0050802980824627446,1,23.596524,a
I241.0297R0.89_CyanoAq_X_RP,S2C3_A,0.014474886677764823,7,23.596524,g
I243.1715R1.84_HILICNeg_X_HILICNeg,S2C3_A,0.005612098116852732,3,23.596524,d
I244.0495R6.68_HILICNeg_X_HILICNeg,S2C3_A,0,4,23.596524,c
I244.0828R9.94_HILICNeg_X_HILICNeg,S2C3_A,0.011822778654023995,2,23.596524,b
I244.0929R7.89_HILICPos_X_HILICPos,S2C3_A,0.01302262827010091,1,23.596524,a
I245.1588R2.3_CyanoAq_X_RP,S2C3_A,0.08646277279365362,1,23.596524,a
I245.1861R2.33_CyanoAq_X_RP,S2C3_A,0.0032144441463329764,3,23.596524,d
I245.1862R2.58_CyanoAq_X_RP,S2C3_A,0.003558720588843623,3,23.596524,d
I248.9764R0.9_CyanoAq_X_RP,S2C3_A,0.006851045371722601,1,23.596524,a
I249.1347R5.35_HILICPos_X_HILICPos,S2C3_A,0,1,23.596524,a
I252.083R12.11_HILICPos_X_HILICPos,S2C3_A,0.018453942160867428,1,23.596524,a
I252.1092R3.46_HILICPos_X_HILICPos,S2C3_A,6.993627824312716e-4,5,23.596524,e
