MassFeature_Column,KOK_clusters,MGL_clusters,KM_clusters,Org_clusters,MetaClusterAssignment
I275.9414R1.7_HILICNeg_X_HILICNeg,g,NA,b,g,NA
I276.9109R1.79_HILICNeg_X_HILICNeg,g,NA,c,NA,Rare
I277.9097R1.79_HILICNeg_X_HILICNeg,g,NA,c,NA,Rare
I279.1706R4.12_CyanoAq_X_RP,d,d,b,b,NA
I283.0872R1.5_CyanoAq_X_RP,e,a,a,g,NA
I284.0991R8.89_HILICPos_X_HILICPos,d,b,a,a,Core
I285.1445R6.57_HILICPos_X_HILICPos,f,c,c,e,Dino
I285.1445R8.18_HILICPos_X_HILICPos,b,d,c,NA,NA
I285.1447R0.91_CyanoAq_X_RP,a,c,c,g,NA
I285.1447R1.14_CyanoAq_X_RP,f,c,c,e,Dino
I285.6464R1_CyanoAq_X_RP,b,c,c,g,NA
I288.1918R7.18_HILICPos_X_HILICPos,a,b,a,d,NA
I288.2032R0.91_CyanoAq_X_RP,d,c,a,b,NA
I289.1393R10.28_HILICPos_X_HILICPos,b,c,c,g,NA
I291.0698R7.5_HILICPos_X_HILICPos,d,NA,a,e,NA
I292.0629R12.12_HILICPos_X_HILICPos,a,g,a,b,NA
I292.0727R10.9_HILICNeg_X_HILICNeg,a,b,b,d,NA
I293.2112R9.77_CyanoAq_X_RP,c,b,c,g,NA
I293.2113R9.66_CyanoAq_X_RP,c,b,c,g,NA
I294.1814R1.08_CyanoAq_X_RP,a,b,b,d,NA
I295.1291R1.78_CyanoAq_X_RP,d,g,a,b,NA
I295.1654R2.4_CyanoAq_X_RP,d,b,b,d,NA
I295.1655R2.58_CyanoAq_X_RP,d,d,b,b,NA
I295.1655R2.81_CyanoAq_X_RP,d,b,b,b,NA
I296.6058R1.22_CyanoAq_X_RP,c,b,a,e,NA
I297.0846R5.35_HILICPos_X_HILICPos,a,d,a,d,NA
I297.1885R5.9_CyanoAq_X_RP,g,NA,c,NA,Rare
I298.0971R2.1_CyanoAq_X_RP,b,d,b,a,NA
I298.957R7.41_HILICNeg_X_HILICNeg,a,NA,NA,g,NA
I299.1967R2.47_CyanoAq_X_RP,c,NA,NA,NA,Rare
I300.8705R4.81_HILICNeg_X_HILICNeg,b,NA,a,NA,NA
I302.0009R7.07_HILICNeg_X_HILICNeg,a,NA,NA,c,NA
I303.1551R9.17_HILICPos_X_HILICPos,b,c,c,e,Dino
I303.1553R0.89_CyanoAq_X_RP,b,f,c,e,Dino
I304.079R2.8_HILICNeg_X_HILICNeg,e,NA,a,c,NA
I305.1573R1.6_CyanoAq_X_RP,a,g,a,NA,NA
I306.4913R3.77_CyanoAq_X_RP,f,f,d,NA,Rare
I308.1605R5.35_HILICPos_X_HILICPos,a,d,a,d,NA
I310.14R1.31_CyanoAq_X_RP,a,d,b,f,NA
I311.1239R1.4_CyanoAq_X_RP,d,g,a,c,NA
I313.1548R4.98_CyanoAq_X_RP,d,d,b,b,NA
I316.0457R12.61_HILICNeg_X_HILICNeg,a,NA,a,g,NA
I317.0553R12.1_HILICNeg_X_HILICNeg,c,d,b,a,NA
I321.2427R9.33_CyanoAq_X_RP,d,b,c,d,NA
I322.1877R1.19_CyanoAq_X_RP,a,c,b,b,NA
I325.0188R11.15_HILICNeg_X_HILICNeg,g,NA,a,g,NA
I325.1761R2.97_CyanoAq_X_RP,b,f,c,NA,NA
I326.0563R6.58_HILICPos_X_HILICPos,a,a,a,g,NA
I327.1204R10.42_HILICNeg_X_HILICNeg,b,c,c,e,Dino
I329.0856R4.34_HILICNeg_X_HILICNeg,d,NA,a,f,NA
I329.1346R2.89_CyanoAq_X_RP,c,f,c,e,Dino
I329.1347R0.88_CyanoAq_X_RP,b,c,c,e,Dino
I329.1742R7.17_HILICPos_X_HILICPos,a,b,a,d,NA
I329.2073R2.82_CyanoAq_X_RP,c,f,NA,NA,Rare
I331.1154R11.28_HILICNeg_X_HILICNeg,b,c,c,e,Dino
I333.1293R11.28_HILICPos_X_HILICPos,b,c,c,e,Dino
I338.006R9.9_HILICNeg_X_HILICNeg,b,NA,c,g,NA
I340.0028R9.93_HILICNeg_X_HILICNeg,b,NA,c,g,NA
I340.2597R6.93_CyanoAq_X_RP,b,a,c,g,NA
I345.0462R0.88_CyanoAq_X_RP,d,a,b,c,NA
