Column,z,MF_Frac,MassFeature_Column,Identification,Confidence,mz,rt,QE.RF.ratio,HILICMix,Conc..uM,Emperical.Formula,date,HILICMixMatch,RF
HILIC,1,I152.0567R8.12_HILICPos,I152.0567R8.12_HILIC_X_HILIC,Guanine,1,152.0567341,487.3730565,NA,Mix2,4,C5H5N5O,170419,Mix2,50529318
HILIC,1,I152.0567R8.12_HILICPos,I152.0567R8.12_HILIC_X_HILIC,Guanine,1,152.0567341,487.3730565,NA,Mix2,4,C5H5N5O,180702,Mix2,50340828
HILIC,1,I160.0969R8.37_HILICPos,I160.0969R8.37_HILIC_X_HILIC,Betonicine,1,160.096881,502.2138686,NA,Mix2,4,C7H13NO3,170410,Mix2,NaN
HILIC,1,I160.0969R8.37_HILICPos,I160.0969R8.37_HILIC_X_HILIC,Betonicine,1,160.096881,502.2138686,NA,Mix2,4,C7H13NO3,170419,Mix2,NaN
HILIC,1,I160.0969R8.37_HILICPos,I160.0969R8.37_HILIC_X_HILIC,Betonicine,1,160.096881,502.2138686,NA,Mix2,4,C7H13NO3,180702,Mix2,602404736
RP,1,I166.0864R1.12_CyanoAq,I166.0864R1.12_CyanoAq_X_RP,Phenylalanine,1,166.0863823,67.38254579,0.632,RP,0.25,C9H11NO2,170413,RP,440169216
RP,1,I166.0864R1.12_CyanoAq,I166.0864R1.12_CyanoAq_X_RP,Phenylalanine,1,166.0863823,67.38254579,0.632,RP,0.25,C9H11NO2,170425,RP,2173114176
RP,1,I166.0864R1.12_CyanoAq,I166.0864R1.12_CyanoAq_X_RP,Phenylalanine,1,166.0863823,67.38254579,0.632,RP,0.25,C9H11NO2,180716,RP,1654195328
HILIC,1,I175.119R17.83_HILICPos,I175.119R17.83_HILIC_X_HILIC,Arginine,1,175.1190291,1069.967292,0.849,Mix1,4,C6H14N4O2,170410,Mix1,17097447
HILIC,1,I175.119R17.83_HILICPos,I175.119R17.83_HILIC_X_HILIC,Arginine,1,175.1190291,1069.967292,0.849,Mix1,4,C6H14N4O2,170419,Mix1,11654926.5
HILIC,1,I175.119R17.83_HILICPos,I175.119R17.83_HILIC_X_HILIC,Arginine,1,175.1190291,1069.967292,0.849,Mix1,4,C6H14N4O2,180702,Mix1,33733931
