Kingdom,Phylum,Class,Order,Family,Genus,Species,Consensus,taxon.id
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,c0f536e63419aa03514d95ebfb14c3e6
Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,1.0000000,3fb7dc6d0e2f099e60c0102689994fa8
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,1.0000000,8be9e7579d93457a5a95fe60697b5cf0
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,50d6f9c14ccd96aa07c0becc7bd5eb92
Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B-Group-IV,RAD-B-Group-IV_X,1.0000000,631429c60199a2ce7462d63a8984bb0b
Eukaryota,Hacrobia,Katablepharidophyta,Katablepharidaceae,Katablepharidales,Katablepharidales_X,Katablepharidales_XX,1.0000000,3be61952176502690e39918165fb4a22
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Tontoniidae_A,NA,1.0000000,97918ac7e8801d915896ee30316be4af
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,0.9090909,198b498a94155b7097bbeead645fa3c2
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,1.0000000,48277d5fd8a1baf743b0181665529b15
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,0.9090909,c83048488d1d8e2d2d6ee98325ede911
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,68bf47a6454fb454f95b0645dc7b12dc
Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Pterocoryothoidea,NA,0.6000000,b1b3d6a92ee085d9722b5cc5e03671bb
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,2e0e9a7340bde4b00d7fdad391eb2d92
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,1029b99be789156c6f6a6c052e4ea676
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.8000000,f5fc4fa94646b07d12313b04b6686a47
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,67da2d9436e85cf8f07bf807fb593b6a
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,NA,NA,NA,1.0000000,aea18fda2c801527acc6e4e0ad6508f4
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,4ccd38562e1b2be5cc7e9f152027b4a1
Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_L,Strombidiidae_L_X,1.0000000,a8a336b80a9f7e93be8507edc65c2337
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,c4284ec0d84298aa4a26de954cdce808
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,1.0000000,68e2d04c8a7842901aadfca37f64c419
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,8929a1b2d820b7bf9fdc59241f05047a
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,7294ab0ad0eaa08939080c05a74bbafd
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,0.6363636,dcbf30e8852b3d6365ecb2aff7daa4f0
Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciellales_X,0.5333333,5a5bf5047a768e2cebae54c0305db586
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.9090909,8db2684467a2f12b6e38270ee878d618
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,NA,NA,0.8000000,9e07c06253c981a1e4913823458a601c
Eukaryota,Stramenopiles,NA,NA,NA,NA,NA,0.9000000,c7b8266e5a931b1eb051b2db373b2afd
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,0.9090909,b61c8fc923740599116032210e55c981
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,799195616780e13368e5a0d0ded242db
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,fd2a9e87621d627a4b561e1d2528ea8a
Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,1.0000000,454fbb3f6e3bba55df92bb85d27053ab
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,264b274bceaa06a9a45669307925f68e
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,09b89553b23d98ea441e9d2fa6391028
Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-G,Chrysophyceae_Clade-G_X,1.0000000,1673fd61fa29d0db8a60e32375ebdd21
Unassigned,NA,NA,NA,NA,NA,NA,1.0000000,feeb5b53cd272f84d26bff1baac01501
Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Dinophyceae_XX,Dinophyceae_XXX,1.0000000,de876458d9a7c143216e1cadca9329d8
Eukaryota,Stramenopiles,Pseudofungi,MAST-1,MAST-1C,MAST-1C_X,MAST-1C_XX,0.6666667,d0778a778a202b61de3015b95dbd8146
Eukaryota,Stramenopiles,NA,NA,NA,NA,NA,0.9333333,8fca98f32b9833be01f43c58b024160b
